timestep,time
0,469.531
1,969.531
2,1469.53
3,1969.53
4,2469.53
5,2969.53
6,3469.53
7,3969.53
8,4469.53
9,4969.53
10,5469.53
11,5969.53
12,6469.53
13,6969.53
14,7469.53
15,7969.53
16,8469.53
17,8969.53
18,9469.53
19,9969.53
20,10469.5
21,10969.5
22,11469.5
23,11969.5
24,12469.5
25,12969.5
26,13469.5
27,13969.5
28,14469.5
29,14969.5
30,15469.5
31,15969.5
32,16469.5
33,16969.5
34,17469.5
35,17969.5
36,18469.5
37,18969.5
38,19469.5
39,19969.5
40,20469.5
41,20969.5
42,21469.5
43,21969.5
44,22469.5
45,22969.5
46,23469.5
47,23969.5
48,24469.5
49,24969.5
50,25469.5
51,25969.5
52,26469.5
53,26969.5
54,27469.5
55,27969.5
56,28469.5
57,28969.5
58,29469.5
59,29969.5
60,30469.5
61,30969.5
62,31469.5
63,31969.5
64,32469.5
65,32969.5
66,33469.5
67,33969.5
68,34469.5
69,34969.5
70,35469.5
71,35969.5
72,36469.5
73,36969.5
74,37469.5
75,37969.5
76,38469.5
77,38969.5
78,39469.5
79,39969.5
80,40469.5
81,40969.5
82,41469.5
83,41969.5
84,42469.5
85,42969.5
86,43469.5
87,43969.5
88,44469.5
89,44969.5
90,45469.5
91,45969.5
92,46469.5
93,46969.5
94,47469.5
95,47969.5
96,48469.5
97,48969.5
98,49469.5
99,49969.5
